Data Entrada,Ativo,Direção,Regime,Regime Macro,Classe,Score,Preço Entrada,Stop Inicial,Stop Final,BE/Parcial (2.0R),MAE (R),MFE (R),Datas Saída,Preços Saída,Motivo Saída,Taxas (R$),Funding (R$),Resultado (R$),Resultado (R),Saldo Acumulado (R$)
2021-04-20 04:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,118.1,$0.5853,$0.5385 (8.00%),$0.5859,$0.6789,0.0,2.27,2021-04-20 08:00 | 2021-04-21 00:00,$0.6789 | $0.5854,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 57.45,R$ 7.40,"R$ +2,884.81",0.98,"R$ 188,161.67"
2021-04-20 20:00,TRB,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,139.9,$92.4332,$85.0385 (8.00%),$85.0385,$107.2225,-0.92,0.0,2021-04-21 04:00,$84.9705,Stop Loss Inicial,R$ 58.33,R$ 3.74,"R$ -3,079.73",-1.03,"R$ 185,081.94"
2021-04-21 00:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,125.8,$0.6171,$0.5677 (8.00%),$0.5677,$0.7158,-0.68,0.62,2021-04-21 20:00,$0.5672,Stop Loss Inicial,R$ 58.33,R$ 7.81,"R$ -3,083.63",-1.03,"R$ 181,998.31"
2021-03-27 08:00,RUNE,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,116.1,$5.8346,$5.3678 (8.00%),$5.8405,$6.7682,0.0,11.56,2021-03-29 20:00 | 2021-04-23 04:00,$6.7682 | $11.7744,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 70.34,"R$ 1,536.64","R$ +19,729.85",6.81,"R$ 201,728.15"
2021-04-27 04:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,114.9,$0.6675,$0.6141 (8.00%),$0.6141,$0.7743,-1.06,0.83,2021-04-28 00:00,$0.6136,Stop Loss Inicial,R$ 61.95,R$ 12.01,"R$ -3,279.11",-1.03,"R$ 198,449.04"
2021-04-27 04:00,RLC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,141.0,$3.0810,$2.8346 (8.00%),$2.8346,$3.5740,-0.85,0.54,2021-04-28 04:00,$2.8323,Stop Loss Inicial,R$ 61.97,R$ 13.08,"R$ -3,281.10",-1.03,"R$ 195,167.94"
2021-04-28 00:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,113.6,$0.6372,$0.5862 (8.00%),$0.5862,$0.7391,-0.53,0.0,2021-04-28 04:00,$0.5857,Stop Loss Inicial,R$ 60.98,R$ 0.00,"R$ -3,216.07",-1.03,"R$ 191,951.87"
2021-05-01 04:00,GTO,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,106.1,$0.0835,$0.0768 (8.00%),$0.0836,$0.0968,-0.06,1.19,2021-05-01 12:00 | 2021-05-04 00:00,$0.0968 | $0.0835,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 29.52,R$ 10.04,"R$ +1,475.87",0.98,"R$ 193,427.74"
2021-05-01 04:00,BTC,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,BTC,117.2,$58235.9934,$53577.1140 (8.00%),$53577.1140,$67553.7524,-0.93,0.13,2021-05-04 12:00,$53534.2523,Stop Loss Inicial,R$ 29.53,R$ 66.22,"R$ -1,623.32",-1.07,"R$ 191,804.42"
2021-04-27 04:00,KSM,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,129.8,$388.2310,$357.1725 (8.00%),$388.6192,$450.3480,-0.42,1.92,2021-05-06 20:00 | 2021-05-10 16:00,$450.3480 | $405.9000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 62.62,R$ 758.98,"R$ +3,258.29",1.03,"R$ 195,062.71"
2021-04-28 00:00,YFI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,102.8,$48776.0758,$44873.9898 (8.00%),$48824.8519,$56580.2480,-0.54,4.61,2021-05-06 12:00 | 2021-05-19 08:00,$56580.2480 | $58278.4000,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 63.81,R$ 521.20,"R$ +6,346.94",2.03,"R$ 201,409.65"
2021-05-20 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,142.6,$38322.0694,$41387.8349 (8.00%),$41387.8349,$32190.5383,-1.02,0.0,2021-05-20 12:00,$41420.9452,Stop Loss Inicial,R$ 62.05,R$ -4.14,"R$ -3,272.99",-1.03,"R$ 198,136.65"
2021-05-20 12:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,141.7,$40438.1308,$43673.1813 (8.00%),$40397.6927,$33968.0299,-0.2,1.36,2021-05-21 20:00 | 2021-05-26 04:00,$33968.0299 | $40430.0108,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 61.07,R$ -13.76,"R$ +3,088.40",0.99,"R$ 201,225.06"
2021-05-29 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,101.7,$36451.8050,$39367.9494 (8.00%),$39367.9494,$30619.5162,-0.8,0.82,2021-06-03 08:00,$39399.4437,Stop Loss Inicial,R$ 62.08,R$ -63.83,"R$ -3,214.91",-1.01,"R$ 198,010.15"
2021-06-05 20:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,101.3,$35767.0475,$38628.4113 (8.00%),$38628.4113,$30044.3199,-1.13,1.43,2021-06-13 20:00,$38659.3141,Stop Loss Inicial,R$ 61.21,R$ -36.16,"R$ -3,196.48",-1.02,"R$ 194,813.66"
2021-06-19 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,108.3,$35063.3596,$37868.4283 (8.00%),$35028.2962,$29453.2220,-0.37,1.36,2021-06-22 12:00 | 2021-06-24 16:00,$29453.2220 | $35056.3188,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 60.37,R$ 12.79,"R$ +3,026.49",0.98,"R$ 197,840.16"
2021-06-26 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,103.9,$31939.4023,$34494.5545 (8.00%),$34494.5545,$26829.0979,-1.08,0.17,2021-06-27 20:00,$34522.1501,Stop Loss Inicial,R$ 62.25,R$ 51.39,"R$ -3,339.01",-1.05,"R$ 194,501.14"
2021-06-08 12:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,96.1,$2530.3042,$2732.7286 (8.00%),$2527.7739,$2125.4555,-0.45,2.26,2021-06-20 08:00 | 2021-06-29 12:00,$2125.4555 | $2216.6100,Parcial Segurança (2.0R / 50%) | Trailing Runner 50% (ema20_1d),R$ 63.03,R$ -104.80,"R$ +5,612.38",1.79,"R$ 200,113.52"
2021-07-02 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,98.3,$32880.1717,$35510.5854 (8.00%),$35510.5854,$27619.3442,-1.02,0.0,2021-07-04 04:00,$35538.9939,Stop Loss Inicial,R$ 62.03,R$ 5.73,"R$ -3,281.87",-1.03,"R$ 196,831.65"
2021-07-13 04:00,ETH,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,ETH,99.0,$2027.1159,$2189.2852 (8.00%),$2189.2852,$1702.7774,-0.78,1.85,2021-07-24 16:00,$2191.0366,Stop Loss Inicial,R$ 61.18,R$ -43.79,"R$ -3,187.27",-1.02,"R$ 193,644.38"
2021-07-13 04:00,BTC,SHORT,Short Bear (BE/Par. 2.0R / Runner 50%),bear,BTC,93.7,$33048.4775,$35471.9371 (7.33%),$35471.9371,$28201.5582,-2.16,1.43,2021-07-26 00:00,$35500.3147,Stop Loss Inicial,R$ 66.52,R$ 118.89,"R$ -3,357.71",-1.07,"R$ 190,286.68"
2021-08-28 20:00,CTSI,LONG,Trend Following (BE/Par. 2.0R / Runner 50%),bull,ALT,122.8,$0.8013,$0.7372 (8.00%),$0.8021,$0.9295,-0.54,1.51,2021-09-05 16:00 | 2021-09-07 08:00,$0.9295 | $0.8015,Parcial Segurança (2.0R / 50%) | Stop BE Runner (50%),R$ 29.81,R$ 51.67,"R$ +1,448.91",0.95,"R$ 191,735.59"
