# GOOGLE DRIVE INDEX - UPDATED 2026-05-17T23:56:04.483Z
# FORMAT: ID | PATH | SIZE | MODIFIED

1KfgwsXuSeATUnwLRrgA54CiDVspOwBFS | /Acadêmico/Livros/日本語/ひらがなとカタカナ/katakana-chart-手机）.png | 93.33 KB | 2024-01-02
16Q1Qwc5D6-SMrDKCwzC1e-NhR0q0WkCh | /Pessoal/Documentos/Pessoais/Certidão de nascimento.pdf | 1.34 MB | 2023-07-10
1p3S2OMhu-JiTfaqb-uI7KrrZzurI-bFE | /Pessoal/declaração BRUNO MANICA.pdf | 38.54 KB | 2022-06-07
1y6ikAK6vWVAuRe9eKsdAq_JvamNeK3gc | /Pessoal/Documentos/Empresa/Contrato social inteiro.pdf | 1.02 MB | 2021-03-24
1yzFoG9uOqP7Mfb2CISUdqrkxG8_lXiF_ | /Pessoal/Documentos/Empresa/CRM PJ.pdf | 80.94 KB | 2021-03-17
1bZwZLONZkBUsSFxnGxXTw9aRoCqgDcEH | /Pessoal/Documentos/Empresa/Certidão Negativa de Débitos Tributários da Dívida Ativa do Estado de São Paulo.pdf | 253.55 KB | 2021-03-17
15n8DR3d3Jm-6oVTDLuuOjLk8-OLJaRyQ | /Pessoal/Documentos/Empresa/Certificado de Regularidade.pdf | 96.72 KB | 2021-03-17
1cWQ_9YLUISH5o_rvCMMGep5Xzqa0fZcb | /Pessoal/Documentos/Empresa/Certidão Conjunta de Débitos de Tributos Mobiliários.pdf | 82.50 KB | 2021-03-17
1iWrmWMl74WBmCKw7gJrq9B_m-WXWItTa | /Pessoal/Documentos/Empresa/CERTIDÃO NEGATIVA DE DÉBITOS TRABALHISTAS.pdf | 84.16 KB | 2021-03-17
1bZ8nDkBJVboBUogDscMRmY8VygrGHhqQ | /Pessoal/Documentos/Empresa/CERTIDÃO NEGATIVA DE DÉBITOS RELATIVOS AOS TRIBUTOS FEDERAIS E À DÍVIDA ATIVA.pdf | 69.13 KB | 2021-03-17
1ftMFQ2-TgIAdn90lF3h9ir1AcBwK6egV | /Pessoal/Documentos/Empresa/CNPJ.pdf | 78.49 KB | 2021-03-17
1dklddt7uZGgTyCY1zUV8kwp-esS3NDSx | /Pessoal/Documentos/Empresa/CCM.pdf | 158.38 KB | 2021-03-17
1ccEjbk3kU6CbNRhEi2kzR6uQIxOTN8op | /Pessoal/Documentos/Empresa/Constituição - Contrato social.pdf | 2.55 MB | 2021-03-17
